Product Name,Target,Pathway
5-Hydroxytryptophol,Endogenous Metabolite,Metabolic Enzyme/Protease
L-Homoserine,Endogenous Metabolite,Metabolic Enzyme/Protease
Medicarpin,Apoptosis,Apoptosis
3b-Hydroxy-5-cholenoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
"(E)-3,4-Dimethoxycinnamic acid",Reactive Oxygen Species; Virus Protease,Anti-infection; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
3-Epioleanolic acid,Others,Others
Isoquinoline,Others,Others
(+)-Camphor,Bacterial,Anti-infection
2-Methylsuccinic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Cucurbitacin E,Autophagy; CDK,Autophagy; Cell Cycle/DNA Damage
Umbelliferone,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
Dodecanedioic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Tripterin,Apoptosis; Autophagy; Endogenous Metabolite; Mitophagy; Proteasome,Apoptosis; Autophagy; Metabolic Enzyme/Protease
PCL 016,Endogenous Metabolite; Virus Protease,Anti-infection; Metabolic Enzyme/Protease
Glabridin,Bacterial; PPAR; Reactive Oxygen Species,Anti-infection; Cell Cycle/DNA Damage; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
(R)-3-Hydroxybutanoic acid (sodium),Endogenous Metabolite,Metabolic Enzyme/Protease
NADPH (tetrasodium salt),Endogenous Metabolite; Ferroptosis,Apoptosis; Metabolic Enzyme/Protease
3-Indolepropionic acid,Endogenous Metabolite; Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Aminoadipic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
(S)-2-Hydroxy-3-phenylpropanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Solasonine,Others,Others
(Ethoxymethyl)benzene,Endogenous Metabolite,Metabolic Enzyme/Protease
Ginkgolide J,Others,Others
4-Isopropylbenzoic acid,Fungal,Anti-infection
Isoliquiritin apioside,MMP; NF-κB; p38 MAPK,MAPK/ERK Pathway; Metabolic Enzyme/Protease; NF-κB
p-Cresyl sulfate (potassium),Endogenous Metabolite,Metabolic Enzyme/Protease
2-Phenylbutanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
3-Pyridineacetic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Isovalerylcarnitine,Endogenous Metabolite; Proteasome,Metabolic Enzyme/Protease
Nicotinamide riboside (chloride),Endogenous Metabolite; Sirtuin,Cell Cycle/DNA Damage; Epigenetics; Metabolic Enzyme/Protease
Phenylacetylglutamine,Endogenous Metabolite,Metabolic Enzyme/Protease
1-Kestose,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
Violanthin,Cholinesterase (ChE),Neuronal Signaling
Ginsenoside Rh1,Endogenous Metabolite; Interleukin Related; PPAR; TNF Receptor,Apoptosis; Cell Cycle/DNA Damage; Immunology/Inflammation; Metabolic Enzyme/Protease
17a-Hydroxypregnenolone,Endogenous Metabolite,Metabolic Enzyme/Protease
S-1-Propenyl-L-cysteine,Others,Others
5-Methoxy-5-oxopentanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Nepsilon-Acetyl-L-lysine,Endogenous Metabolite,Metabolic Enzyme/Protease
6-Hydroxymelatonin,Endogenous Metabolite,Metabolic Enzyme/Protease
D-N-Acetylgalactosamine,Endogenous Metabolite,Metabolic Enzyme/Protease
3-Hydroxymandelic Acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Triacetin,Endogenous Metabolite; Fungal,Anti-infection; Metabolic Enzyme/Protease
Smyrindioloside,Others,Others
Costunolide,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
"(S)-(+)-1,2-Propanediol",Endogenous Metabolite,Metabolic Enzyme/Protease
Nomilin,Others,Others
Caryophyllene oxide,Endogenous Metabolite,Metabolic Enzyme/Protease
Xanthoxylin,Fungal,Anti-infection
Asiaticoside,Apoptosis; Endogenous Metabolite; Reactive Oxygen Species; TGF-beta/Smad,Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB; Stem Cell/Wnt; TGF-beta/Smad
Rhein,Autophagy; Bacterial; Reactive Oxygen Species,Anti-infection; Autophagy; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Indole-3-pyruvic acid,Aryl Hydrocarbon Receptor; Endogenous Metabolite,Immunology/Inflammation; Metabolic Enzyme/Protease
Ganoderic acid A,Apoptosis; Autophagy; Endogenous Metabolite,Apoptosis; Autophagy; Metabolic Enzyme/Protease
Indole-3-carboxylic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
N-Acetylhistamine,Endogenous Metabolite; Histamine Receptor,GPCR/G Protein; Immunology/Inflammation; Metabolic Enzyme/Protease; Neuronal Signaling
Methyl anisate,Endogenous Metabolite,Metabolic Enzyme/Protease
Ricinoleic acid (purity≥99%),Others,Others
Verbascoside,Apoptosis; Bacterial; HSV; PKC,Anti-infection; Apoptosis; Epigenetics; TGF-beta/Smad
Phytosphingosine,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
5-Methyltetrahydrofolic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Nepitrin,Others,Others
(R)-(-)-Gossypol acetic acid,Autophagy; Bcl-2 Family,Apoptosis; Autophagy
27-Hydroxycholesterol,Endogenous Metabolite; Estrogen Receptor/ERR; LXR,Metabolic Enzyme/Protease; Others
Paraxanthine,Endogenous Metabolite,Metabolic Enzyme/Protease
Decanoic acid,iGluR,Membrane Transporter/Ion Channel; Neuronal Signaling
2-(2-Phenylacetamido)acetic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
1-Methyladenosine,Endogenous Metabolite,Metabolic Enzyme/Protease
"4,6-Dioxoheptanoic acid",Endogenous Metabolite,Metabolic Enzyme/Protease
D-(+)-Melezitose,Bacterial,Anti-infection
Lonicerin,Apoptosis; Bacterial; Endogenous Metabolite,Anti-infection; Apoptosis; Metabolic Enzyme/Protease
Indole-3-carbinol,Aryl Hydrocarbon Receptor; E1/E2/E3 Enzyme; Endogenous Metabolite; NF-κB,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
3-Hydroxyisobutyric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Nonanoic acid,Bacterial,Anti-infection
"(R,R)-(+)-Hydrobenzoin",Endogenous Metabolite,Metabolic Enzyme/Protease
Ginkgolide A,Endogenous Metabolite; GABA Receptor,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Phenoxyacetic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Epiandrosterone,Androgen Receptor; Endogenous Metabolite,Metabolic Enzyme/Protease; Others
Adipic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Dimethylmalonic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Isoformononetin,Others,Others
β-Aminopropionitrile,Endogenous Metabolite; Monoamine Oxidase,Metabolic Enzyme/Protease; Neuronal Signaling
4-Aminobenzoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
D-Melibiose,Endogenous Metabolite,Metabolic Enzyme/Protease
Tiglic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Glycochenodeoxycholic acid,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
Methyl rosmarinate,Tyrosinase,Metabolic Enzyme/Protease
D-Glucuronic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
"5,6-Dihydro-5-methyluracil",Endogenous Metabolite,Metabolic Enzyme/Protease
5-Methoxyindole-3-acetic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Undecanedioic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
"2,6-Dimethoxy-1,4-benzoquinone",Bacterial; Parasite,Anti-infection
"1,4-Dimethoxybenzene",Endogenous Metabolite,Metabolic Enzyme/Protease
2-Methylcitric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
1-Hydroxyoctadecane,Endogenous Metabolite,Metabolic Enzyme/Protease
Mulberrin,Others,Others
Methyl 2-furoate,Endogenous Metabolite,Metabolic Enzyme/Protease
Medicagenic acid,Bacterial,Anti-infection
Solamargine,Apoptosis; P-glycoprotein,Apoptosis; Membrane Transporter/Ion Channel
Phthalic acid mono-2-ethylhexyl ester,Endogenous Metabolite,Metabolic Enzyme/Protease
6''-O-Acetylglycitin,Others,Others
Norisoboldine,Adenosine Receptor,GPCR/G Protein
2'-O-Methyladenosine,Endogenous Metabolite,Metabolic Enzyme/Protease
Dihydrofolic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Lauric acid,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
(R)-Citronellol,Endogenous Metabolite,Metabolic Enzyme/Protease
Hederasaponin B,Enterovirus,Anti-infection
Homodihydrocapsaicin I,Others,Others
Adrenosterone,Androgen Receptor; Endogenous Metabolite,Metabolic Enzyme/Protease; Others
Daidzein,Endogenous Metabolite; PPAR,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Abscisic acid,Endogenous Metabolite; Proton Pump,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease
Herniarin,Others,Others
2'-Deoxyadenosine monohydrate,Endogenous Metabolite,Metabolic Enzyme/Protease
Asymmetric dimethylarginine,Endogenous Metabolite; NO Synthase,Immunology/Inflammation; Metabolic Enzyme/Protease
Nonadecanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Dihydrolipoic Acid,Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
3-Indoleacetonitrile,Endogenous Metabolite,Metabolic Enzyme/Protease
O-Acetylserine,Endogenous Metabolite,Metabolic Enzyme/Protease
Tetrahydrothiophen-3-one,Endogenous Metabolite,Metabolic Enzyme/Protease
Geniposidic acid,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
"3,​5,​6,​7,​8,​3',​4'-​Heptemthoxyflavone",Phosphodiesterase (PDE),Metabolic Enzyme/Protease
Resveratrol,Antibiotic; Apoptosis; Autophagy; Bacterial; Fungal; IKK; Keap1-Nrf2; Mitophagy; Sirtuin,Anti-infection; Apoptosis; Autophagy; Cell Cycle/DNA Damage; Epigenetics; NF-κB
Nordihydrocapsaicin,Others,Others
Dihydrouracil,Endogenous Metabolite,Metabolic Enzyme/Protease
Suberic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Thymidine,DNA/RNA Synthesis; Endogenous Metabolite; Orthopoxvirus,Anti-infection; Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Cysteinylglycine (TFA),Endogenous Metabolite,Metabolic Enzyme/Protease
Euphol,Endogenous Metabolite; MAGL,Metabolic Enzyme/Protease
LysoPC(14:0/0:0),Endogenous Metabolite,Metabolic Enzyme/Protease
Neopterin,Endogenous Metabolite,Metabolic Enzyme/Protease
Octyl acetate,Others,Others
Ginsenoside F1,Cytochrome P450; Endogenous Metabolite,Metabolic Enzyme/Protease
5'-Deoxyadenosine,Endogenous Metabolite; Orthopoxvirus,Anti-infection; Metabolic Enzyme/Protease
2'-Deoxycytidine-5'-monophosphoric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
1-Dodecanol,Endogenous Metabolite,Metabolic Enzyme/Protease
(S)-Malic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Diosbulbin B,Endogenous Metabolite,Metabolic Enzyme/Protease
Procyanidin B2,Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Sulcatone,Endogenous Metabolite,Metabolic Enzyme/Protease
Tridecanoic acid,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
"1,3-Dimethyluric acid",Endogenous Metabolite,Metabolic Enzyme/Protease
Indole-3-methanamine,Endogenous Metabolite,Metabolic Enzyme/Protease
Dimethyl trisulfide,Endogenous Metabolite,Metabolic Enzyme/Protease
Liquiritin apioside,Others,Others
Citraconic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Pentacosanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
4-Ethylbenzaldehyde,Endogenous Metabolite,Metabolic Enzyme/Protease
Carveol,Endogenous Metabolite,Metabolic Enzyme/Protease
Astringin,Others,Others
Myricitrin,Others,Others
Tetrahydrocortisol,Endogenous Metabolite,Metabolic Enzyme/Protease
3-Methylglutaric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
all-trans-4-Oxoretinoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
p-Tolualdehyde,Endogenous Metabolite,Metabolic Enzyme/Protease
"7,8-Dihydro-L-biopterin",Endogenous Metabolite,Metabolic Enzyme/Protease
DL-Panthenol,Others,Others
Cinnamic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Dioscin,Apoptosis; Autophagy,Apoptosis; Autophagy
3-Methyl-2-cyclopenten-1-one,Endogenous Metabolite,Metabolic Enzyme/Protease
"2',4'-Dimethylacetophenone",Endogenous Metabolite,Metabolic Enzyme/Protease
2-(4-Methoxyphenyl)acetic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Thyminose,Endogenous Metabolite,Metabolic Enzyme/Protease
Linalyl acetate,Others,Others
Methylmalonic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
m-Anisaldehyde,Endogenous Metabolite,Metabolic Enzyme/Protease
Flavokawain B,Apoptosis,Apoptosis
Ginsenoside Rh2,Apoptosis; Caspase; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
2-Furoic acid,Acyltransferase; ATP Citrate Lyase; Endogenous Metabolite,Metabolic Enzyme/Protease
Acetophenone,Others,Others
Mevalonic acid (lithium salt),Endogenous Metabolite,Metabolic Enzyme/Protease
Taurolithocholic acid (sodium salt),Calcium Channel; Endogenous Metabolite,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
"3,4,5-Trimethoxycinnamic acid",Endogenous Metabolite; GABA Receptor,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Genistin,Apoptosis; Estrogen Receptor/ERR,Apoptosis; Others
Bergapten,Autophagy; Cytochrome P450,Autophagy; Metabolic Enzyme/Protease
Psoralen,Apoptosis; HIV; Influenza Virus,Anti-infection; Apoptosis
Punicalagin,HBV; SARS-CoV,Anti-infection
Dihydrocaffeic acid,Endogenous Metabolite; p38 MAPK,MAPK/ERK Pathway; Metabolic Enzyme/Protease
Friedelin,Cytochrome P450,Metabolic Enzyme/Protease
2-(1H-Indol-3-yl)ethan-1-ol,Endogenous Metabolite,Metabolic Enzyme/Protease
"Pteridine-2,4(1H,3H)-dione",Endogenous Metabolite,Metabolic Enzyme/Protease
5-Hydroxyferulic acid,COMT; Endogenous Metabolite,Metabolic Enzyme/Protease; Neuronal Signaling
Coumaran,Cholinesterase (ChE); Endogenous Metabolite,Metabolic Enzyme/Protease; Neuronal Signaling
3-(3-Methoxyphenyl)propionic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Kaempferol-3-O-(2''-O-β-D-glucopyl)-β-D-rutinoside,Others,Others
Methyl stearate,Others,Others
SDMA,Endogenous Metabolite,Metabolic Enzyme/Protease
Vasopressin,Endogenous Metabolite,Metabolic Enzyme/Protease
(-)-Epigallocatechin,Autophagy; MMP,Autophagy; Metabolic Enzyme/Protease
3-Methylsalicylic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Urocanic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
D-(+)-Trehalose dihydrate,Endogenous Metabolite,Metabolic Enzyme/Protease
Phytol,Bacterial; Parasite,Anti-infection
Valepotriate,Apoptosis,Apoptosis
β-Elemonic acid,Apoptosis; COX; Endogenous Metabolite; Prolyl Endopeptidase  (PREP); Reactive Oxygen Species,Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Thymol,Bacterial,Anti-infection
Rhamnose,Endogenous Metabolite,Metabolic Enzyme/Protease
18α-Glycyrrhetinic acid,Apoptosis; NF-κB; Proteasome,Apoptosis; Metabolic Enzyme/Protease; NF-κB
Quercetagetin,Pim,JAK/STAT Signaling
(1R)-α-Pinene,Bacterial,Anti-infection
Hordenine,Antibiotic; Bacterial,Anti-infection
Erythromycin,Antibiotic; Bacterial; DNA/RNA Synthesis,Anti-infection; Cell Cycle/DNA Damage
Citronellal,Potassium Channel,Membrane Transporter/Ion Channel
L-Octanoylcarnitine,Endogenous Metabolite,Metabolic Enzyme/Protease
3-O-Methylgalangin,Bacterial,Anti-infection
Glabranine,HIV; Influenza Virus,Anti-infection
2-Methoxybenzoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Tylosin (phosphate),Antibiotic; Bacterial,Anti-infection
Hydroxyacetone,Endogenous Metabolite,Metabolic Enzyme/Protease
Benzyl acetate,Others,Others
Ginsenoside Ro,Calcium Channel; Prostaglandin Receptor,GPCR/G Protein; Membrane Transporter/Ion Channel; Neuronal Signaling
Apigenin,Autophagy; Cytochrome P450; Endogenous Metabolite,Autophagy; Metabolic Enzyme/Protease
Diosmetin,Cytochrome P450,Metabolic Enzyme/Protease
1-Pentadecanol,Others,Others
1-Hexadecanol,Endogenous Metabolite,Metabolic Enzyme/Protease
2-Methylpentanedioic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
N-Acetylglycine,Endogenous Metabolite,Metabolic Enzyme/Protease
4-Methoxycinnamic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Ursonic acid,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
Isomangiferin,Influenza Virus,Anti-infection
Pentacosane,Others,Others
3'-Methoxyapiin,Others,Others
Byakangelicin,Others,Others
L-5-Hydroxytryptophan,Endogenous Metabolite,Metabolic Enzyme/Protease
4-Hydroxynonenal,Aldehyde Dehydrogenase (ALDH); Endogenous Metabolite,Metabolic Enzyme/Protease
Cyanidin 3-sambubioside (chloride),Angiotensin-converting Enzyme (ACE); Influenza Virus,Anti-infection; Metabolic Enzyme/Protease
L-(+)-Arabinose,Endogenous Metabolite,Metabolic Enzyme/Protease
H-D-Trp-OH,Endogenous Metabolite,Metabolic Enzyme/Protease
"2,4-Dihydroxybenzoic acid",Endogenous Metabolite,Metabolic Enzyme/Protease
"1,4-Diaminobutane (dihydrochloride)",Endogenous Metabolite,Metabolic Enzyme/Protease
Lithocholic acid,Apoptosis; Autophagy; Endogenous Metabolite,Apoptosis; Autophagy; Metabolic Enzyme/Protease
2-Methylbenzaldehyde,Endogenous Metabolite,Metabolic Enzyme/Protease
Ginkgolide C,AMPK; Endogenous Metabolite; MMP; Sirtuin,Cell Cycle/DNA Damage; Epigenetics; Metabolic Enzyme/Protease; PI3K/Akt/mTOR
Mangiferin,Apoptosis; Keap1-Nrf2; NF-κB,Apoptosis; NF-κB
N6-Isopentenyladenosine,Autophagy; Endogenous Metabolite,Autophagy; Metabolic Enzyme/Protease
N-Acetyl-L-arginine,Endogenous Metabolite,Metabolic Enzyme/Protease
5-Methylcytosine,DNA/RNA Synthesis; Endogenous Metabolite,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
N-Acetyl-L-aspartic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Gamma-Mangostin,5-HT Receptor,GPCR/G Protein; Neuronal Signaling
Emodin,Autophagy; Casein Kinase; SARS-CoV,Anti-infection; Autophagy; Cell Cycle/DNA Damage; Stem Cell/Wnt
Homogentisic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Hexadecanedioic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
D-Pinitol,Influenza Virus,Anti-infection
Bilobetin,PKA; PPAR,Cell Cycle/DNA Damage; Stem Cell/Wnt
"1,4-Cineole",Endogenous Metabolite; TRP Channel,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
D-Glucuronic acid lactone,Endogenous Metabolite,Metabolic Enzyme/Protease
Flavone,Endogenous Metabolite,Metabolic Enzyme/Protease
Stachyose (tetrahydrate),Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
Tributyrin,Apoptosis,Apoptosis
2-Piperidone,Endogenous Metabolite,Metabolic Enzyme/Protease
3-Hydroxyvaleric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Taurocholic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
4-Methyl-2-oxopentanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
"2,3,5-Trimethylpyrazine",Endogenous Metabolite,Metabolic Enzyme/Protease
Camalexin,Bacterial; Fungal; Reactive Oxygen Species,Anti-infection; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
(+)-Longifolene,Endogenous Metabolite,Metabolic Enzyme/Protease
Methyl cinnamate,AMPK; Bacterial; Tyrosinase,Anti-infection; Epigenetics; Metabolic Enzyme/Protease; PI3K/Akt/mTOR
Dihydrodaidzein,Endogenous Metabolite,Metabolic Enzyme/Protease
Flavonol,Endogenous Metabolite,Metabolic Enzyme/Protease
2-Methoxyestradiol,Apoptosis; Autophagy; Endogenous Metabolite; Microtubule/Tubulin; Reactive Oxygen Species,Apoptosis; Autophagy; Cell Cycle/DNA Damage; Cytoskeleton; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
D-Arabitol,Endogenous Metabolite,Metabolic Enzyme/Protease
6-(Dimethylamino)purine,CDK,Cell Cycle/DNA Damage
2-Methoxy-4-vinylphenol,Endogenous Metabolite,Metabolic Enzyme/Protease
Cytarabine,Apoptosis; Autophagy; DNA/RNA Synthesis; Endogenous Metabolite; HSV; Nucleoside Antimetabolite/Analog; Orthopoxvirus,Anti-infection; Apoptosis; Autophagy; Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Quercimeritrin,Others,Others
2-Hydroxy-4-methoxybenzoic acid,Others,Others
Pellitorine,Others,Others
Alloimperatorin,Others,Others
Nerolidol,Bacterial; Endogenous Metabolite; Fungal; Parasite,Anti-infection; Metabolic Enzyme/Protease
Noreugenin,Others,Others
Atropine (sulfate monohydrate),mAChR,GPCR/G Protein; Neuronal Signaling
Rhapontin,Apoptosis,Apoptosis
2-Amino-4-(2-aminophenyl)-4-oxobutanoic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Daidzin,Mitochondrial Metabolism; Reverse Transcriptase,Anti-infection; Metabolic Enzyme/Protease
4-Hydroxybenzoic acid,Bacterial; Endogenous Metabolite,Anti-infection; Metabolic Enzyme/Protease
Choerospondin,Others,Others
5-Hydroxymethyluracil,Endogenous Metabolite,Metabolic Enzyme/Protease
Retusin,Others,Others
Diosgenin,STAT,JAK/STAT Signaling; Stem Cell/Wnt
4-Hydroxyacetophenone,HBV,Anti-infection
[8]-Shogaol,Apoptosis; COX,Apoptosis; Immunology/Inflammation
(+)-Secoisolariciresinol,Others,Others
10-Gingerol,Others,Others
7-Methylguanosine,Endogenous Metabolite; Nucleoside Antimetabolite/Analog,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
2-Methylpyrazine,Others,Others
N6-Methyladenosine,Endogenous Metabolite; Influenza Virus,Anti-infection; Metabolic Enzyme/Protease
Pyridoxylamine (dihydrochloride),Endogenous Metabolite,Metabolic Enzyme/Protease
2-Amino-1-phenylethanol,Endogenous Metabolite,Metabolic Enzyme/Protease
Meloside A,Others,Others
3-Hydroxybutyric acid (sodium),Endogenous Metabolite,Metabolic Enzyme/Protease
Cryptochlorogenic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
5α-Cholestan-3-one,Endogenous Metabolite,Metabolic Enzyme/Protease
Sorbic acid,Antibiotic; Bacterial; Endogenous Metabolite; Fungal,Anti-infection; Metabolic Enzyme/Protease
Docosapentaenoic acid (22n-3),Endogenous Metabolite,Metabolic Enzyme/Protease
2-Ethylpyrazine,Endogenous Metabolite,Metabolic Enzyme/Protease
8-Hydroxybergapten,Others,Others
Methyl propyl disulfide,Others,Others
Delphinidin (chloride),Apoptosis; JAK; STAT,Apoptosis; Epigenetics; JAK/STAT Signaling; Stem Cell/Wnt
Erucic acid,Endogenous Metabolite; PI3K,Metabolic Enzyme/Protease; PI3K/Akt/mTOR
Folinic acid,Antifolate; Endogenous Metabolite,Cell Cycle/DNA Damage; Metabolic Enzyme/Protease
Clitocine,Apoptosis; Bcl-2 Family,Apoptosis
3-Hydroxyhippuric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Gadopentetate (dimeglumine),Others,Others
4-Hydroxybenzyl alcohol,Apoptosis; Endogenous Metabolite,Apoptosis; Metabolic Enzyme/Protease
Valdecoxib,COX; Endogenous Metabolite,Immunology/Inflammation; Metabolic Enzyme/Protease
L-Dihydroorotic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Nerol,Apoptosis; Endogenous Metabolite; Fungal; Mitochondrial Metabolism; Reactive Oxygen Species,Anti-infection; Apoptosis; Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Isorhamnetin-3-O-glucoside,Others,Others
Genistein,Apoptosis; Autophagy; EGFR; Endogenous Metabolite,Apoptosis; Autophagy; JAK/STAT Signaling; Metabolic Enzyme/Protease; Protein Tyrosine Kinase/RTK
12-Ketodeoxycholic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Gibberellic acid,Others,Others
2'-Deoxyinosine,Endogenous Metabolite,Metabolic Enzyme/Protease
Glycolithocholic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
6‴-Feruloylspinosin,GABA Receptor,Membrane Transporter/Ion Channel; Neuronal Signaling
Gardenin B,Apoptosis,Apoptosis
Sulforaphene,Apoptosis; EGFR; ERK; NF-κB,Apoptosis; JAK/STAT Signaling; MAPK/ERK Pathway; NF-κB; Protein Tyrosine Kinase/RTK; Stem Cell/Wnt
Oleoylcarnitine,Endogenous Metabolite,Metabolic Enzyme/Protease
4-Hydroxyderricin,Dopamine β-hydroxylase; Monoamine Oxidase,Metabolic Enzyme/Protease; Neuronal Signaling
Aucubin,Bacterial,Anti-infection
Nervonic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Protopine,Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Raffinose,Endogenous Metabolite,Metabolic Enzyme/Protease
4-Hydroxyphenylacetic acid,Endogenous Metabolite; Keap1-Nrf2,Metabolic Enzyme/Protease; NF-κB
Pyrogallol,Apoptosis; Endogenous Metabolite; Fungal,Anti-infection; Apoptosis; Metabolic Enzyme/Protease
Pyropheophorbide-a,Reactive Oxygen Species,Immunology/Inflammation; Metabolic Enzyme/Protease; NF-κB
Ginkgolic Acid,E1/E2/E3 Enzyme,Metabolic Enzyme/Protease
Gentianose,Others,Others
Sclareolide,Bacterial,Anti-infection
Tomatine,Apoptosis; Proteasome,Apoptosis; Metabolic Enzyme/Protease
Octadecanedioic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
5-Hydroxymethyl-2-furancarboxylic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Kaurenoic acid,Potassium Channel,Membrane Transporter/Ion Channel
3-Hydroxyphenylacetic acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Jujuboside B,Others,Others
D(-)-2-Aminobutyric acid,Endogenous Metabolite,Metabolic Enzyme/Protease
Sabinene,Others,Others
Pyrrole-2-carboxaldehyde,Others,Others
Capsaicin,Apoptosis; Autophagy; Endogenous Metabolite; TRP Channel,Apoptosis; Autophagy; Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease; Neuronal Signaling
Homovanillyl alcohol,Drug Metabolite,Metabolic Enzyme/Protease
2-Hydroxy-4-methoxybenzaldehyde,Bacterial; Tyrosinase,Anti-infection; Metabolic Enzyme/Protease
Physcion 8-O-β-D-glucopyranoside,Others,Others
